method,image_path,segmentation_path,skeleton_path,precision,recall,f1_score,parameters
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius2_blackTrue_threshold2_segmentation.png,media/results/reconstruction_segmentation_radius2_blackTrue_threshold2_skeleton.png,0.7966140471288035,0.6674333908376462,0.7263245723821443,"{'radius': 2, 'black': True, 'threshold': 2}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius2_segmentation.png,media/results/reconstruction_segmentation_radius2_skeleton.png,0.7966140471288035,0.6674333908376462,0.7263245723821443,{'radius': 2}
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius15_segmentation.png,media/results/reconstruction_segmentation_radius15_skeleton.png,0,0.0,0,{'radius': 15}
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius10_segmentation.png,media/results/reconstruction_segmentation_radius10_skeleton.png,0,0.0,0,{'radius': 10}
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius2_segmentation.png,media/results/reconstruction_segmentation_radius2_skeleton.png,0.7966140471288035,0.6674333908376462,0.7263245723821443,{'radius': 2}
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius1_segmentation.png,media/results/reconstruction_segmentation_radius1_skeleton.png,0.8551592703512115,0.6152791380999021,0.7156527682843473,{'radius': 1}
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius1_segmentation.png,media/results/reconstruction_segmentation_radius1_skeleton.png,0.854421768707483,0.615565575377377,0.715587967183227,{'radius': 1}
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0.12785448751991502,0.2641975308641975,0.17231815335063075,"{'radius': 8, 'black': True, 'threshold': 20}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0.1460823373173971,0.03826086956521739,0.06063947078280045,"{'radius': 8, 'black': True, 'threshold': 20}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0.13151166506871204,0.23288058856819469,0.16809640522875816,"{'radius': 8, 'black': True, 'threshold': 20}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0.13151166506871204,0.23288058856819469,0.16809640522875816,"{'radius': 8, 'black': True, 'threshold': 20}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0.13151166506871204,0.23288058856819469,0.16809640522875816,"{'radius': 8, 'black': True, 'threshold': 20}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0.13151166506871204,0.23288058856819469,0.16809640522875816,"{'radius': 8, 'black': True, 'threshold': 20}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0.12446958981612447,0.03096410978184377,0.049591434206818816,"{'radius': 8, 'black': True, 'threshold': 20}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0.1417142857142857,0.046546546546546545,0.0700762927380616,"{'radius': 8, 'black': True, 'threshold': 20}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0.14165890027958994,0.1476205891874393,0.14457831325301207,"{'radius': 8, 'black': True, 'threshold': 20}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0.941803642825411,0.4276780310671777,0.588235294117647,"{'radius': 8, 'black': True, 'threshold': 20}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0.854421768707483,0.615565575377377,0.715587967183227,"{'radius': 8, 'black': True, 'threshold': 20}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0.7214059884694067,0.7106998900696225,0.7160129210890631,"{'radius': 8, 'black': True, 'threshold': 20}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0,0.0,0,"{'radius': 8, 'black': True, 'threshold': 20}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0.9350797266514806,0.16013263116832455,0.27343880099916734,"{'radius': 8, 'black': True, 'threshold': 20}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0.854421768707483,0.615565575377377,0.715587967183227,"{'radius': 8, 'black': True, 'threshold': 20}"
reconstruction_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_segmentation.png,media/results/reconstruction_segmentation_radius8_blackTrue_threshold20_skeleton.png,0.941803642825411,0.4276780310671777,0.588235294117647,"{'radius': 8, 'black': True, 'threshold': 20}"
